Cell_ID,Reef_Zone,Urchin_Density,Coral_Patch,Dist_ID_To_Coral_Patch,Initial_Carbonate_g,DeadCoralPercent,NoNutritionalValuePercent,LiveCoralPercent,UnprotectedAlgalLawnPercent,ProtectedAlgalLawnPercent,DamselfishLength_cm,ChainLengthY,ChainLengthX,Topographic_Complexity
1,1,0,0,0,0,0,100,0,0,0,0,0.95,1,0.02
2,1,0,0,0,0,0,100,0,0,0,0,0.94,1.01,0.02
3,1,0,0,0,0,5,95,0,0,0,0,0.95,1.02,0.03
4,1,0,0,0,0,22,60,18,0,0,0,0.94,1.12,0.08
5,1,0,0,0,0,48,28,23,0,0,0,0.95,1,0.07
6,1,0,0,0,0,50,40,10,0,0,0,0.94,1.01,0.06
7,1,0,0,0,0,12,20,62,6,0,0,0.95,1.02,0.04
8,1,0,0,0,0,5,80,15,0,0,0,0.94,1.12,0.03
9,1,0,0,0,0,2,60,40,0,0,0,0.95,1,0.02
10,1,0,0,0,0,1,80,19,0,0,0,0.94,1.01,0.02
11,1,0,0,0,0,2,80,18,0,0,0,0.95,1.02,0.05
12,1,0,0,0,0,28,68,4,0,0,0,0.94,1.12,0.06
13,1,0,0,0,0,48,52,0,0,0,0,0.95,1,0.09
14,1,0,0,0,0,48,40,12,0,0,0,0.94,1.01,0.08
15,1,0,0,0,0,62,28,10,0,0,0,0.95,1.02,0.05
16,1,0,0,0,0,58,25,17,0,0,0,0.94,1.12,0.09
17,1,0,0,0,0,65,23,12,0,0,0,0.95,1,0.08
18,1,0,0,0,0,25,75,0,0,0,0,0.94,1.01,0.12
19,1,0,0,0,0,22,66,12,0,0,0,0.95,1.02,0.13
20,1,0,0,0,0,14,82,4,0,0,0,0.94,1.12,0.09
21,1,0,0,0,0,30,70,0,0,0,0,0.95,1,0.1
22,1,0,0,0,0,55,35,10,0,0,0,0.94,1.01,0.11
23,1,0,0,0,0,38,22,34,6,0,0,0.95,1.02,0.18
24,1,0,0,0,0,43,24,23,10,0,0,0.94,1.12,0.19
25,1,0,0,0,0,61,25,8,6,0,0,0.95,1,0.2
26,1,0,0,0,0,24,34,42,0,0,0,0.94,1.01,0.23
27,1,0,0,0,0,5,12,73,0,0,0,0.95,1.02,0.45
28,1,0,0,0,0,14,12,74,0,0,0,0.94,1.12,0.53
29,1,0,0,0,0,8,90,2,0,0,0,0.95,1,0.11
30,1,0,0,0,0,5,92,0,3,0,0,0.94,1.01,0.16
31,1,0,0,0,0,40,55,2,3,0,0,0.95,1.02,0.11
32,1,0,0,0,0,55,28,0,17,0,0,0.94,1.12,0.14
33,1,0,0,0,0,34,3,63,0,0,0,0.95,1,0.47
34,1,0,0,0,0,30,23,47,0,0,0,0.94,1.01,0.29
35,1,0,0,0,0,35,19,46,0,0,0,0.95,1.02,0.23
36,1,0,0,0,0,13,15,55,17,0,0,0.94,1.12,0.49
37,1,0,0,0,0,8,13,57,22,0,0,0.95,1,0.52
38,1,0,0,6,0,14,19,54,13,0,0,0.94,1.01,0.49
39,1,0,0,6,0,32,16,30,22,0,0,0.95,1.02,0.35
40,1,0,0,6,0,2,88,2,8,0,0,0.94,1.12,0.1
41,1,0,0,6,0,47,39,5,18,0,0,0.95,1,0.18
42,1,0,0,0,0,52,28,5,15,0,0,0.94,1.01,0.17
43,1,0,0,0,0,18,0,77,5,0,0,0.95,1.02,0.45
44,1,0,0,0,0,22,3,60,10,5,0,0.94,1.12,0.47
45,1,0,0,0,0,28,2,48,17,5,0,0.95,1,0.42
46,1,0,0,0,0,12,2,66,15,5,0,0.94,1.01,0.51
47,1,0,0,0,0,13,0,70,12,5,0,0.95,1.02,0.55
48,1,0,0,0,0,15,8,64,8,5,0,0.94,1.12,0.49
49,1,0,0,0,0,16,10,59,10,5,0,0.95,1,0.47
50,1,0,0,0,0,14,47,26,8,5,0,0.94,1.01,0.38
51,1,0,0,0,0,48,29,0,18,5,0,0.95,1.02,0.18
52,1,0,0,6,0,75,10,0,10,5,0,0.94,1.12,0.17
53,1,0,0,6,0,46,24,25,0,5,0,0.95,1,0.3
54,1,0,0,6,0,28,22,43,2,5,0,0.94,1.01,0.45
55,1,0,0,6,0,25,22,45,3,5,0,0.95,1.02,0.53
56,1,0,0,6,0,28,22,40,5,5,0,0.94,1.12,0.49
57,1,0,0,6,0,27,24,39,5,5,0,0.95,1,0.48
58,1,0,0,6,0,28,23,44,0,5,0,0.94,1.01,0.53
59,1,0,0,6,0,30,20,45,0,5,0,0.95,1.02,0.54
60,1,0,0,6,0,39,16,40,0,5,0,0.94,1.12,0.37
61,1,0,0,6,0,53,17,0,25,5,0,0.95,1,0.12
62,1,0,0,0,0,60,13,2,20,5,0,0.94,1.01,0.13
63,1,0,0,0,0,58,20,5,12,5,0,0.95,1.02,0.15
64,1,0,0,0,0,12,51,37,0,0,0,0.94,1.12,0.35
65,1,0,0,0,0,20,10,60,10,0,0,0.95,1,0.38
66,1,0,0,0,0,23,13,55,9,0,0,0.94,1.01,0.45
67,1,0,0,6,0,28,17,53,2,0,0,0.95,1.02,0.52
68,1,0,0,6,0,20,13,57,10,0,0,0.94,1.12,0.55
69,1,0,0,6,0,18,17,55,10,0,0,0.95,1,0.5
70,1,0,0,6,0,20,19,49,12,0,0,0.94,1.01,0.47
71,1,0,0,4,0,46,26,12,16,0,0,0.95,1.02,0.11
72,1,0,0,4,0,50,38,0,12,0,0,0.94,1.12,0.12
73,1,0,0,4,0,52,36,0,12,0,0,0.95,1,0.14
74,1,0,0,4,0,42,28,30,0,0,0,0.94,1.01,0.28
