N,WCSS
20,248
21,275.81
22,298.36
23,322.087
24,358.33
25,400
26,434.56
27,469.23
28,504.3
29,538
30,573.24
31,610.4
32,659.1
33,697.75
34,735.52
35,787.06
36,840
37,888.65
38,937.37
39,982.97
40,1030.2
41,1080.2
42,1128.57
43,1181.4
44,1236.36
45,1307.02
46,1364.61
47,1420.94
48,1494.5
49,1568
50,1630.69
51,1693.44
52,1758.28
53,1819.69
54,1882.42
55,1946.67
56,2015.13
57,2081.7
58,2156.07
59,2232.83
60,2329.36
61,2409.07
62,2487.21
63,2586.84
64,2688
65,2768.74
66,2847.09
67,2927.4
68,3092.64
69,3180.57
70,3263.66
71,3346.11
72,3431.23
73,3534.32
74,3626.67
75,3717.63
76,3819.2
77,3918.21
78,4027.65
79,4134.15
80,4261.83
81,4320
82,4418.77
83,4517.56
84,4618.41
85,4718.31
86,4815.25
87,4915.07
88,5020.32
89,5124
90,5233.26
91,5344.44
92,5475.17
93,5608.61
94,5725.25
95,5839.75
96,6000.17
97,6164
98,6300.7
99,6434.69
100,6600
101,6720.79
102,6839.26
103,6959.69
104,7078.69
105,7201.68
106,7323.55
107,7447.18
108,7572.15
109,7712.29
110,7844.55
111,7973.33
112,8114.21
113,8278.73
114,8425.86
115,8593.39
116,8738.48
117,8909.81
118,9107.81
119,9276
120,9478.3
121,9680
122,9822.81
123,9965.34
124,10110.5
125,10256.19
126,10398.14
127,10539.43
128,10693.8
129,10843.75
130,10990.39
131,11144.62
132,11318.17
133,11480.91
134,11640.12
135,11814.69
136,12016.95
137,12198.15
138,12378.51
139,12582.96
140,12823.31
141,13032.86
142,13238.87
143,13482.59
144,13597
145,13765.2
146,13931.37
147,14101.81
148,14270.75
149,14443.11
150,14616.21
151,14790.61
152,14978.75
153,15145
154,15324
155,15505
156,15694
157,15904
158,16100
159,16297
160,16511
161,16754
162,16974
163,17194
164,17443
165,17727
166,17979
167,18229
168,18521
169,18925
170,19116
171,19310
172,19503
173,19699
174,19889
175,20085
176,20287
177,20484
178,20684
179,20891
180,21112
181,21322
182,21535
183,21761
184,22011
185,22242
186,22473
187,22730
188,23016
189,23275
190,23533
191,23828
192,24161
193,24455
194,24748
195,25091
