cell_id,x_coord,y_coord,next_cell_id,border_cell_indicator
1,0,0,1,Y
1,0,1,0,Y
1,0,2,0,Y
1,0,-1,17,Y
1,0,-2,33,Y
1,1,0,2,Y
1,1,1,0,Y
1,1,2,0,Y
1,1,-1,18,Y
1,1,-2,34,Y
1,-1,0,0,Y
1,-1,1,0,Y
1,-1,2,0,Y
1,-1,-1,0,Y
1,-1,-2,0,Y
1,2,0,3,Y
1,2,1,0,Y
1,2,2,0,Y
1,2,-1,19,Y
1,2,-2,35,Y
1,-2,0,0,Y
1,-2,1,0,Y
1,-2,2,0,Y
1,-2,-1,0,Y
1,-2,-2,0,Y
2,0,0,2,Y
2,0,1,0,Y
2,0,2,0,Y
2,0,-1,18,Y
2,0,-2,34,Y
2,1,0,3,Y
2,1,1,0,Y
2,1,2,0,Y
2,1,-1,19,Y
2,1,-2,35,Y
2,-1,0,1,Y
2,-1,1,0,Y
2,-1,2,0,Y
2,-1,-1,17,Y
2,-1,-2,33,Y
2,2,0,4,Y
2,2,1,0,Y
2,2,2,0,Y
2,2,-1,20,Y
2,2,-2,36,Y
2,-2,0,0,Y
2,-2,1,0,Y
2,-2,2,0,Y
2,-2,-1,0,Y
2,-2,-2,0,Y
3,0,0,3,Y
3,0,1,0,Y
3,0,2,0,Y
3,0,-1,19,Y
3,0,-2,35,Y
3,1,0,4,Y
3,1,1,0,Y
3,1,2,0,Y
3,1,-1,20,Y
3,1,-2,36,Y
3,-1,0,2,Y
3,-1,1,0,Y
3,-1,2,0,Y
3,-1,-1,18,Y
3,-1,-2,34,Y
3,2,0,5,Y
3,2,1,0,Y
3,2,2,0,Y
3,2,-1,21,Y
3,2,-2,37,Y
3,-2,0,1,Y
3,-2,1,0,Y
3,-2,2,0,Y
3,-2,-1,17,Y
3,-2,-2,33,Y
4,0,0,4,Y
4,0,1,0,Y
4,0,2,0,Y
4,0,-1,20,Y
4,0,-2,36,Y
4,1,0,5,Y
4,1,1,0,Y
4,1,2,0,Y
4,1,-1,21,Y
4,1,-2,37,Y
4,-1,0,3,Y
4,-1,1,0,Y
4,-1,2,0,Y
4,-1,-1,19,Y
4,-1,-2,35,Y
4,2,0,6,Y
4,2,1,0,Y
4,2,2,0,Y
4,2,-1,22,Y
4,2,-2,38,Y
4,-2,0,2,Y
4,-2,1,0,Y
4,-2,2,0,Y
4,-2,-1,20,Y
4,-2,-2,36,Y
5,0,0,5,Y
5,0,1,0,Y
5,0,2,0,Y
5,0,-1,21,Y
5,0,-2,37,Y
5,1,0,6,Y
5,1,1,0,Y
5,1,2,0,Y
5,1,-1,22,Y
5,1,-2,38,Y
5,-1,0,4,Y
5,-1,1,0,Y
5,-1,2,0,Y
5,-1,-1,20,Y
5,-1,-2,36,Y
5,2,0,7,Y
5,2,1,0,Y
5,2,2,0,Y
5,2,-1,23,Y
5,2,-2,39,Y
5,-2,0,3,Y
5,-2,1,0,Y
5,-2,2,0,Y
5,-2,-1,19,Y
5,-2,-2,35,Y
6,0,0,6,Y
6,0,1,0,Y
6,0,2,0,Y
6,0,-1,22,Y
6,0,-2,38,Y
6,1,0,7,Y
6,1,1,0,Y
6,1,2,0,Y
6,1,-1,23,Y
6,1,-2,39,Y
6,-1,0,5,Y
6,-1,1,0,Y
6,-1,2,0,Y
6,-1,-1,21,Y
6,-1,-2,37,Y
6,2,0,8,Y
6,2,1,0,Y
6,2,2,0,Y
6,2,-1,24,Y
6,2,-2,40,Y
6,-2,0,4,Y
6,-2,1,0,Y
6,-2,2,0,Y
6,-2,-1,20,Y
6,-2,-2,36,Y
7,0,0,7,Y
7,0,1,0,Y
7,0,2,0,Y
7,0,-1,23,Y
7,0,-2,39,Y
7,1,0,8,Y
7,1,1,0,Y
7,1,2,0,Y
7,1,-1,24,Y
7,1,-2,40,Y
7,-1,0,6,Y
7,-1,1,0,Y
7,-1,2,0,Y
7,-1,-1,22,Y
7,-1,-2,38,Y
7,2,0,9,Y
7,2,1,0,Y
7,2,2,0,Y
7,2,-1,25,Y
7,2,-2,41,Y
7,-2,0,5,Y
7,-2,1,0,Y
7,-2,2,0,Y
7,-2,-1,21,Y
7,-2,-2,37,Y
8,0,0,8,Y
8,0,1,0,Y
8,0,2,0,Y
8,0,-1,24,Y
8,0,-2,40,Y
8,1,0,9,Y
8,1,1,0,Y
8,1,2,0,Y
8,1,-1,25,Y
8,1,-2,41,Y
8,-1,0,7,Y
8,-1,1,0,Y
8,-1,2,0,Y
8,-1,-1,23,Y
8,-1,-2,39,Y
8,2,0,10,Y
8,2,1,0,Y
8,2,2,0,Y
8,2,-1,26,Y
8,2,-2,42,Y
8,-2,0,6,Y
8,-2,1,0,Y
8,-2,2,0,Y
8,-2,-1,22,Y
8,-2,-2,38,Y
9,0,0,9,Y
9,0,1,0,Y
9,0,2,0,Y
9,0,-1,25,Y
9,0,-2,41,Y
9,1,0,10,Y
9,1,1,0,Y
9,1,2,0,Y
9,1,-1,26,Y
9,1,-2,42,Y
9,-1,0,8,Y
9,-1,1,0,Y
9,-1,2,0,Y
9,-1,-1,24,Y
9,-1,-2,40,Y
9,2,0,11,Y
9,2,1,0,Y
9,2,2,0,Y
9,2,-1,27,Y
9,2,-2,43,Y
9,-2,0,7,Y
9,-2,1,0,Y
9,-2,2,0,Y
9,-2,-1,23,Y
9,-2,-2,39,Y
10,0,0,10,Y
10,0,1,0,Y
10,0,2,0,Y
10,0,-1,26,Y
10,0,-2,42,Y
10,1,0,11,Y
10,1,1,0,Y
10,1,2,0,Y
10,1,-1,27,Y
10,1,-2,43,Y
10,-1,0,9,Y
10,-1,1,0,Y
10,-1,2,0,Y
10,-1,-1,25,Y
10,-1,-2,41,Y
10,2,0,12,Y
10,2,1,0,Y
10,2,2,0,Y
10,2,-1,28,Y
10,2,-2,44,Y
10,-2,0,8,Y
10,-2,1,0,Y
10,-2,2,0,Y
10,-2,-1,24,Y
10,-2,-2,40,Y
11,0,0,11,Y
11,0,1,0,Y
11,0,2,0,Y
11,0,-1,27,Y
11,0,-2,43,Y
11,1,0,12,Y
11,1,1,0,Y
11,1,2,0,Y
11,1,-1,28,Y
11,1,-2,44,Y
11,-1,0,10,Y
11,-1,1,0,Y
11,-1,2,0,Y
11,-1,-1,26,Y
11,-1,-2,42,Y
11,2,0,13,Y
11,2,1,0,Y
11,2,2,0,Y
11,2,-1,29,Y
11,2,-2,45,Y
11,-2,0,9,Y
11,-2,1,0,Y
11,-2,2,0,Y
11,-2,-1,25,Y
11,-2,-2,41,Y
12,0,0,12,Y
12,0,1,0,Y
12,0,2,0,Y
12,0,-1,28,Y
12,0,-2,44,Y
12,1,0,13,Y
12,1,1,0,Y
12,1,2,0,Y
12,1,-1,29,Y
12,1,-2,45,Y
12,-1,0,11,Y
12,-1,1,0,Y
12,-1,2,0,Y
12,-1,-1,27,Y
12,-1,-2,43,Y
12,2,0,14,Y
12,2,1,0,Y
12,2,2,0,Y
12,2,-1,30,Y
12,2,-2,46,Y
12,-2,0,10,Y
12,-2,1,0,Y
12,-2,2,0,Y
12,-2,-1,26,Y
12,-2,-2,42,Y
13,0,0,13,Y
13,0,1,0,Y
13,0,2,0,Y
13,0,-1,29,Y
13,0,-2,45,Y
13,1,0,14,Y
13,1,1,0,Y
13,1,2,0,Y
13,1,-1,30,Y
13,1,-2,46,Y
13,-1,0,12,Y
13,-1,1,0,Y
13,-1,2,0,Y
13,-1,-1,28,Y
13,-1,-2,44,Y
13,2,0,15,Y
13,2,1,0,Y
13,2,2,0,Y
13,2,-1,31,Y
13,2,-2,47,Y
13,-2,0,11,Y
13,-2,1,0,Y
13,-2,2,0,Y
13,-2,-1,27,Y
13,-2,-2,43,Y
14,0,0,14,Y
14,0,1,0,Y
14,0,2,0,Y
14,0,-1,30,Y
14,0,-2,46,Y
14,1,0,15,Y
14,1,1,0,Y
14,1,2,0,Y
14,1,-1,31,Y
14,1,-2,47,Y
14,-1,0,13,Y
14,-1,1,0,Y
14,-1,2,0,Y
14,-1,-1,29,Y
14,-1,-2,45,Y
14,2,0,16,Y
14,2,1,0,Y
14,2,2,0,Y
14,2,-1,32,Y
14,2,-2,48,Y
14,-2,0,12,Y
14,-2,1,0,Y
14,-2,2,0,Y
14,-2,-1,28,Y
14,-2,-2,44,Y
15,0,0,15,Y
15,0,1,0,Y
15,0,2,0,Y
15,0,-1,31,Y
15,0,-2,47,Y
15,1,0,16,Y
15,1,1,0,Y
15,1,2,0,Y
15,1,-1,32,Y
15,1,-2,48,Y
15,-1,0,14,Y
15,-1,1,0,Y
15,-1,2,0,Y
15,-1,-1,30,Y
15,-1,-2,46,Y
15,2,0,0,Y
15,2,1,0,Y
15,2,2,0,Y
15,2,-1,0,Y
15,2,-2,0,Y
15,-2,0,13,Y
15,-2,1,0,Y
15,-2,2,0,Y
15,-2,-1,45,Y
15,-2,-2,61,Y
16,0,0,16,Y
16,0,1,0,Y
16,0,2,0,Y
16,0,-1,32,Y
16,0,-2,48,Y
16,1,0,0,Y
16,1,1,0,Y
16,1,2,0,Y
16,1,-1,0,Y
16,1,-2,0,Y
16,-1,0,15,Y
16,-1,1,0,Y
16,-1,2,0,Y
16,-1,-1,31,Y
16,-1,-2,47,Y
16,2,0,0,Y
16,2,1,0,Y
16,2,2,0,Y
16,2,-1,0,Y
16,2,-2,0,Y
16,-2,0,14,Y
16,-2,1,0,Y
16,-2,2,0,Y
16,-2,-1,30,Y
16,-2,-2,46,Y
17,0,0,17,Y
17,0,1,1,Y
17,0,2,0,Y
17,0,-1,33,Y
17,0,-2,49,Y
17,1,0,18,Y
17,1,1,2,Y
17,1,2,0,Y
17,1,-1,34,Y
17,1,-2,50,Y
17,-1,0,0,Y
17,-1,1,0,Y
17,-1,2,0,Y
17,-1,-1,0,Y
17,-1,-2,0,Y
17,2,0,19,Y
17,2,1,3,Y
17,2,2,0,Y
17,2,-1,35,Y
17,2,-2,51,Y
17,-2,0,0,Y
17,-2,1,0,Y
17,-2,2,0,Y
17,-2,-1,0,Y
17,-2,-2,0,Y
18,0,0,18,N
18,0,1,2,N
18,0,2,0,N
18,0,-1,34,N
18,0,-2,50,N
18,1,0,19,N
18,1,1,3,N
18,1,2,0,N
18,1,-1,35,N
18,1,-2,51,N
18,-1,0,17,N
18,-1,1,1,N
18,-1,2,0,N
18,-1,-1,33,N
18,-1,-2,49,N
18,2,0,20,N
18,2,1,4,N
18,2,2,0,N
18,2,-1,36,N
18,2,-2,52,N
18,-2,0,0,N
18,-2,1,0,N
18,-2,2,0,N
18,-2,-1,0,N
18,-2,-2,0,N
19,0,0,19,N
19,0,1,3,N
19,0,2,0,N
19,0,-1,35,N
19,0,-2,51,N
19,1,0,20,N
19,1,1,4,N
19,1,2,0,N
19,1,-1,36,N
19,1,-2,52,N
19,-1,0,18,N
19,-1,1,2,N
19,-1,2,0,N
19,-1,-1,34,N
19,-1,-2,50,N
19,2,0,21,N
19,2,1,5,N
19,2,2,0,N
19,2,-1,37,N
19,2,-2,53,N
19,-2,0,17,N
19,-2,1,1,N
19,-2,2,0,N
19,-2,-1,33,N
19,-2,-2,49,N
20,0,0,20,N
20,0,1,4,N
20,0,2,0,N
20,0,-1,36,N
20,0,-2,52,N
20,1,0,21,N
20,1,1,5,N
20,1,2,0,N
20,1,-1,37,N
20,1,-2,53,N
20,-1,0,19,N
20,-1,1,3,N
20,-1,2,0,N
